kind,pattern,phase,domain,model,lift,occurrences,doc_prevalence,cell_pass,bootstrap_ci_lo,bootstrap_ci_hi,replicated_pattern
cross_sentence,<X> . the <X> is <X>,validation,news,gpt4,2.0992,18,0.1857,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,news,llama-chat,2.1875,14,0.1714,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,news,cohere-chat,0.3902,1,0.0143,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,recipes,gpt4,1.0009,0,0.0,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,recipes,llama-chat,0.8726,0,0.0,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,recipes,cohere-chat,3.3649,1,0.0143,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,wiki,gpt4,5.9034,19,0.1571,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,wiki,llama-chat,6.1631,16,0.0857,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,wiki,cohere-chat,3.3317,7,0.0714,False,,,False
cross_sentence,<X> and <X> . the,discovery,abstracts,chatgpt,10.3614,32,0.3429,True,,,False
cross_sentence,<X> and <X> . the,discovery,abstracts,mistral-chat,7.5149,23,0.2286,True,,,False
cross_sentence,<X> and <X> . the,discovery,abstracts,mpt-chat,11.3462,22,0.2714,True,,,False
cross_sentence,<X> and <X> . the,discovery,books,chatgpt,1.1261,6,0.0857,False,,,False
cross_sentence,<X> and <X> . the,discovery,books,mistral-chat,2.6023,13,0.1571,True,,,False
cross_sentence,<X> and <X> . the,discovery,books,mpt-chat,1.0858,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the,discovery,news,chatgpt,2.1019,28,0.3429,True,,,False
cross_sentence,<X> and <X> . the,discovery,news,mistral-chat,2.0993,12,0.1571,True,,,False
cross_sentence,<X> and <X> . the,discovery,news,mpt-chat,1.4679,5,0.0714,False,,,False
cross_sentence,<X> and <X> . the,discovery,recipes,chatgpt,0.2779,0,0.0,False,,,False
cross_sentence,<X> and <X> . the,discovery,recipes,mistral-chat,0.4083,0,0.0,False,,,False
cross_sentence,<X> and <X> . the,discovery,recipes,mpt-chat,1.3581,1,0.0143,False,,,False
cross_sentence,<X> and <X> . the,discovery,wiki,chatgpt,2.6593,26,0.1714,True,,,False
cross_sentence,<X> and <X> . the,discovery,wiki,mistral-chat,2.0822,12,0.1143,True,,,False
cross_sentence,<X> and <X> . the,discovery,wiki,mpt-chat,4.1269,23,0.1857,True,,,False
cross_sentence,<X> and <X> . the,validation,abstracts,gpt4,5.6435,26,0.3143,True,,,False
cross_sentence,<X> and <X> . the,validation,abstracts,llama-chat,1.5225,10,0.1286,True,,,False
cross_sentence,<X> and <X> . the,validation,abstracts,cohere-chat,3.1893,19,0.2571,True,,,False
cross_sentence,<X> and <X> . the,validation,books,gpt4,2.9948,21,0.2571,True,,,False
cross_sentence,<X> and <X> . the,validation,books,llama-chat,0.848,6,0.0571,False,,,False
cross_sentence,<X> and <X> . the,validation,books,cohere-chat,0.9154,6,0.0857,False,,,False
cross_sentence,<X> and <X> . the,validation,news,gpt4,1.3206,12,0.1571,False,,,False
cross_sentence,<X> and <X> . the,validation,news,llama-chat,2.458,17,0.2143,True,,,False
cross_sentence,<X> and <X> . the,validation,news,cohere-chat,0.8476,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the,validation,recipes,gpt4,0.2002,0,0.0,False,,,False
cross_sentence,<X> and <X> . the,validation,recipes,llama-chat,1.2216,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the,validation,recipes,cohere-chat,0.673,1,0.0143,False,,,False
cross_sentence,<X> and <X> . the,validation,wiki,gpt4,2.1541,18,0.2143,True,,,False
cross_sentence,<X> and <X> . the,validation,wiki,llama-chat,3.0887,21,0.2143,True,,,False
cross_sentence,<X> and <X> . the,validation,wiki,cohere-chat,1.2814,7,0.0857,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,abstracts,chatgpt,10.3614,32,0.3429,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,abstracts,mistral-chat,7.5149,23,0.2286,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,abstracts,mpt-chat,11.3462,22,0.2714,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,books,chatgpt,1.1261,6,0.0857,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,books,mistral-chat,2.6023,13,0.1571,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,books,mpt-chat,1.0858,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,news,chatgpt,2.1996,28,0.3429,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,news,mistral-chat,2.197,12,0.1571,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,news,mpt-chat,1.5362,5,0.0714,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,recipes,chatgpt,0.2779,0,0.0,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,recipes,mistral-chat,0.4083,0,0.0,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,recipes,mpt-chat,1.3581,1,0.0143,False,,,False
cross_sentence,<X> and <X> . the <X>,discovery,wiki,chatgpt,2.6593,26,0.1714,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,wiki,mistral-chat,2.0822,12,0.1143,True,,,False
cross_sentence,<X> and <X> . the <X>,discovery,wiki,mpt-chat,4.1269,23,0.1857,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,abstracts,gpt4,5.6435,26,0.3143,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,abstracts,llama-chat,1.5225,10,0.1286,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,abstracts,cohere-chat,3.1893,19,0.2571,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,books,gpt4,2.9948,21,0.2571,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,books,llama-chat,0.848,6,0.0571,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,books,cohere-chat,0.9154,6,0.0857,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,news,gpt4,1.4184,12,0.1571,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,news,llama-chat,2.4892,16,0.2,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,news,cohere-chat,0.9104,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,recipes,gpt4,0.2002,0,0.0,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,recipes,llama-chat,1.2216,3,0.0429,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,recipes,cohere-chat,0.673,1,0.0143,False,,,False
cross_sentence,<X> and <X> . the <X>,validation,wiki,gpt4,2.1541,18,0.2143,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,wiki,llama-chat,3.0887,21,0.2143,True,,,False
cross_sentence,<X> and <X> . the <X>,validation,wiki,cohere-chat,1.2814,7,0.0857,False,,,False
cross_sentence,and <X> . the,discovery,abstracts,chatgpt,9.7817,37,0.4,True,4.6404,33.9339,True
cross_sentence,and <X> . the,discovery,abstracts,mistral-chat,6.6718,25,0.2429,True,3.0601,21.4151,True
cross_sentence,and <X> . the,discovery,abstracts,mpt-chat,10.9336,26,0.3143,True,4.8548,37.0981,True
cross_sentence,and <X> . the,discovery,books,chatgpt,1.2994,7,0.1,False,0.5346,2.5532,True
cross_sentence,and <X> . the,discovery,books,mistral-chat,2.7951,14,0.1714,True,1.3036,5.6606,True
cross_sentence,and <X> . the,discovery,books,mpt-chat,1.0858,3,0.0429,False,0.1718,2.7242,True
cross_sentence,and <X> . the,discovery,news,chatgpt,2.3231,31,0.3857,True,1.3714,4.1108,True
cross_sentence,and <X> . the,discovery,news,mistral-chat,2.7711,16,0.2,True,1.5208,4.9166,True
cross_sentence,and <X> . the,discovery,news,mpt-chat,2.0017,7,0.1,False,0.6974,4.4312,True
cross_sentence,and <X> . the,discovery,recipes,chatgpt,0.2779,0,0.0,False,0.1126,0.9074,True
cross_sentence,and <X> . the,discovery,recipes,mistral-chat,0.4083,0,0.0,False,0.1571,1.3803,True
cross_sentence,and <X> . the,discovery,recipes,mpt-chat,1.3581,1,0.0143,False,0.1995,8.003,True
cross_sentence,and <X> . the,discovery,wiki,chatgpt,2.9544,38,0.2714,True,1.4182,7.6489,True
cross_sentence,and <X> . the,discovery,wiki,mistral-chat,3.1208,24,0.1857,True,1.3303,8.661,True
cross_sentence,and <X> . the,discovery,wiki,mpt-chat,4.7673,35,0.2429,True,2.153,12.9473,True
cross_sentence,and <X> . the,validation,abstracts,gpt4,6.9773,41,0.4,True,3.8627,17.4573,True
cross_sentence,and <X> . the,validation,abstracts,llama-chat,2.2322,19,0.2429,True,1.0574,6.0301,True
cross_sentence,and <X> . the,validation,abstracts,cohere-chat,3.0344,23,0.2714,True,1.5864,6.9545,True
cross_sentence,and <X> . the,validation,books,gpt4,4.1218,31,0.3286,True,2.3506,8.1936,True
cross_sentence,and <X> . the,validation,books,llama-chat,0.7966,6,0.0571,False,0.156,1.9945,True
cross_sentence,and <X> . the,validation,books,cohere-chat,0.9923,7,0.1,False,0.3787,2.1914,True
cross_sentence,and <X> . the,validation,news,gpt4,1.8488,17,0.2143,True,1.0017,3.5615,True
cross_sentence,and <X> . the,validation,news,llama-chat,3.1603,22,0.2429,True,1.531,6.4438,True
cross_sentence,and <X> . the,validation,news,cohere-chat,0.8476,3,0.0429,False,0.1212,2.1905,True
cross_sentence,and <X> . the,validation,recipes,gpt4,0.2002,0,0.0,False,0.09,1.0404,True
cross_sentence,and <X> . the,validation,recipes,llama-chat,1.2216,3,0.0429,False,0.1722,9.4403,True
cross_sentence,and <X> . the,validation,recipes,cohere-chat,1.5703,3,0.0286,False,0.1423,12.2418,True
cross_sentence,and <X> . the,validation,wiki,gpt4,3.1788,31,0.3,True,1.8052,8.5813,True
cross_sentence,and <X> . the,validation,wiki,llama-chat,4.171,33,0.2857,True,2.147,11.5175,True
cross_sentence,and <X> . the,validation,wiki,cohere-chat,1.5548,10,0.1286,True,0.5991,5.2726,True
cross_sentence,and <X> . the <X>,discovery,abstracts,chatgpt,9.7817,37,0.4,True,4.8149,32.781,True
cross_sentence,and <X> . the <X>,discovery,abstracts,mistral-chat,6.6718,25,0.2429,True,2.946,24.2784,True
cross_sentence,and <X> . the <X>,discovery,abstracts,mpt-chat,10.9336,26,0.3143,True,5.0047,34.3754,True
cross_sentence,and <X> . the <X>,discovery,books,chatgpt,1.2994,7,0.1,False,0.5149,2.505,True
cross_sentence,and <X> . the <X>,discovery,books,mistral-chat,2.7951,14,0.1714,True,1.3491,5.7462,True
cross_sentence,and <X> . the <X>,discovery,books,mpt-chat,1.0858,3,0.0429,False,0.1559,2.9559,True
cross_sentence,and <X> . the <X>,discovery,news,chatgpt,2.4312,31,0.3857,True,1.4357,4.4212,True
cross_sentence,and <X> . the <X>,discovery,news,mistral-chat,2.9,16,0.2,True,1.5417,4.9247,True
cross_sentence,and <X> . the <X>,discovery,news,mpt-chat,2.0948,7,0.1,False,0.7675,4.5057,True
cross_sentence,and <X> . the <X>,discovery,recipes,chatgpt,0.2779,0,0.0,False,0.1112,0.9094,True
cross_sentence,and <X> . the <X>,discovery,recipes,mistral-chat,0.4083,0,0.0,False,0.1665,1.3804,True
cross_sentence,and <X> . the <X>,discovery,recipes,mpt-chat,1.3581,1,0.0143,False,0.2004,8.0733,True
cross_sentence,and <X> . the <X>,discovery,wiki,chatgpt,2.9544,38,0.2714,True,1.4034,7.6494,True
cross_sentence,and <X> . the <X>,discovery,wiki,mistral-chat,3.1208,24,0.1857,True,1.3138,8.2028,True
cross_sentence,and <X> . the <X>,discovery,wiki,mpt-chat,4.7673,35,0.2429,True,2.1268,13.4092,True
cross_sentence,and <X> . the <X>,validation,abstracts,gpt4,6.9773,41,0.4,True,3.9589,16.9212,True
cross_sentence,and <X> . the <X>,validation,abstracts,llama-chat,2.2322,19,0.2429,True,1.1036,5.7862,True
cross_sentence,and <X> . the <X>,validation,abstracts,cohere-chat,3.0344,23,0.2714,True,1.5939,7.1512,True
cross_sentence,and <X> . the <X>,validation,books,gpt4,4.1218,31,0.3286,True,2.3789,8.5503,True
cross_sentence,and <X> . the <X>,validation,books,llama-chat,0.7966,6,0.0571,False,0.1554,1.9381,True
cross_sentence,and <X> . the <X>,validation,books,cohere-chat,0.9923,7,0.1,False,0.3455,2.3558,True
cross_sentence,and <X> . the <X>,validation,news,gpt4,1.9858,17,0.2143,True,1.0002,4.1111,True
cross_sentence,and <X> . the <X>,validation,news,llama-chat,3.2435,21,0.2286,True,1.5368,7.1355,True
cross_sentence,and <X> . the <X>,validation,news,cohere-chat,0.9104,3,0.0429,False,0.1365,2.5764,True
cross_sentence,and <X> . the <X>,validation,recipes,gpt4,0.2002,0,0.0,False,0.0898,1.0426,True
cross_sentence,and <X> . the <X>,validation,recipes,llama-chat,1.2216,3,0.0429,False,0.1714,9.591,True
cross_sentence,and <X> . the <X>,validation,recipes,cohere-chat,1.5703,3,0.0286,False,0.1515,12.5638,True
cross_sentence,and <X> . the <X>,validation,wiki,gpt4,3.1788,31,0.3,True,1.8065,8.4166,True
cross_sentence,and <X> . the <X>,validation,wiki,llama-chat,4.171,33,0.2857,True,2.0453,12.8481,True
cross_sentence,and <X> . the <X>,validation,wiki,cohere-chat,1.5548,10,0.1286,True,0.5979,5.5446,True
cross_sentence,the <X> . the,discovery,abstracts,chatgpt,2.6118,35,0.3571,True,,,False
cross_sentence,the <X> . the,discovery,abstracts,mistral-chat,2.177,29,0.2429,True,,,False
cross_sentence,the <X> . the,discovery,abstracts,mpt-chat,2.6183,22,0.2571,True,,,False
cross_sentence,the <X> . the,discovery,books,chatgpt,0.7523,12,0.1571,False,,,False
cross_sentence,the <X> . the,discovery,books,mistral-chat,0.904,13,0.1429,False,,,False
cross_sentence,the <X> . the,discovery,books,mpt-chat,1.0237,9,0.1286,False,,,False
cross_sentence,the <X> . the,discovery,news,chatgpt,2.2192,55,0.4857,True,,,False
cross_sentence,the <X> . the,discovery,news,mistral-chat,2.1398,23,0.2714,True,,,False
cross_sentence,the <X> . the,discovery,news,mpt-chat,2.2428,15,0.1714,True,,,False
cross_sentence,the <X> . the,discovery,recipes,chatgpt,0.1471,1,0.0143,False,,,False
cross_sentence,the <X> . the,discovery,recipes,mistral-chat,0.0721,0,0.0,False,,,False
cross_sentence,the <X> . the,discovery,recipes,mpt-chat,0.0799,0,0.0,False,,,False
cross_sentence,the <X> . the,discovery,wiki,chatgpt,1.8326,29,0.2571,True,,,False
cross_sentence,the <X> . the,discovery,wiki,mistral-chat,1.3921,13,0.1571,False,,,False
cross_sentence,the <X> . the,discovery,wiki,mpt-chat,2.3373,21,0.2,True,,,False
cross_sentence,the <X> . the,validation,abstracts,gpt4,2.1426,27,0.3143,True,,,False
cross_sentence,the <X> . the,validation,abstracts,llama-chat,0.8222,15,0.1714,False,,,False
cross_sentence,the <X> . the,validation,abstracts,cohere-chat,1.6455,27,0.3,True,,,False
cross_sentence,the <X> . the,validation,books,gpt4,1.9165,39,0.4143,True,,,False
cross_sentence,the <X> . the,validation,books,llama-chat,0.6589,14,0.1857,False,,,False
cross_sentence,the <X> . the,validation,books,cohere-chat,0.8585,17,0.2143,False,,,False
cross_sentence,the <X> . the,validation,news,gpt4,1.6454,43,0.4143,True,,,False
cross_sentence,the <X> . the,validation,news,llama-chat,2.1875,43,0.4571,True,,,False
cross_sentence,the <X> . the,validation,news,cohere-chat,1.344,15,0.1714,False,,,False
cross_sentence,the <X> . the,validation,recipes,gpt4,2.2019,5,0.0714,False,,,False
cross_sentence,the <X> . the,validation,recipes,llama-chat,0.5235,1,0.0143,False,,,False
cross_sentence,the <X> . the,validation,recipes,cohere-chat,0.2243,0,0.0,False,,,False
cross_sentence,the <X> . the,validation,wiki,gpt4,1.0372,18,0.1857,False,,,False
cross_sentence,the <X> . the,validation,wiki,llama-chat,2.0405,29,0.2714,True,,,False
cross_sentence,the <X> . the,validation,wiki,cohere-chat,1.3573,16,0.1714,False,,,False
cross_sentence,the <X> . the <X>,discovery,abstracts,chatgpt,2.6118,35,0.3571,True,,,False
cross_sentence,the <X> . the <X>,discovery,abstracts,mistral-chat,2.177,29,0.2429,True,,,False
cross_sentence,the <X> . the <X>,discovery,abstracts,mpt-chat,2.6183,22,0.2571,True,,,False
cross_sentence,the <X> . the <X>,discovery,books,chatgpt,0.7523,12,0.1571,False,,,False
cross_sentence,the <X> . the <X>,discovery,books,mistral-chat,0.904,13,0.1429,False,,,False
cross_sentence,the <X> . the <X>,discovery,books,mpt-chat,1.0237,9,0.1286,False,,,False
cross_sentence,the <X> . the <X>,discovery,news,chatgpt,2.2789,51,0.4714,True,,,False
cross_sentence,the <X> . the <X>,discovery,news,mistral-chat,2.3681,23,0.2714,True,,,False
cross_sentence,the <X> . the <X>,discovery,news,mpt-chat,2.482,15,0.1714,True,,,False
cross_sentence,the <X> . the <X>,discovery,recipes,chatgpt,0.1471,1,0.0143,False,,,False
cross_sentence,the <X> . the <X>,discovery,recipes,mistral-chat,0.0721,0,0.0,False,,,False
cross_sentence,the <X> . the <X>,discovery,recipes,mpt-chat,0.0799,0,0.0,False,,,False
cross_sentence,the <X> . the <X>,discovery,wiki,chatgpt,1.8326,29,0.2571,True,,,False
cross_sentence,the <X> . the <X>,discovery,wiki,mistral-chat,1.3921,13,0.1571,False,,,False
cross_sentence,the <X> . the <X>,discovery,wiki,mpt-chat,2.3373,21,0.2,True,,,False
cross_sentence,the <X> . the <X>,validation,abstracts,gpt4,2.1426,27,0.3143,True,,,False
cross_sentence,the <X> . the <X>,validation,abstracts,llama-chat,0.8222,15,0.1714,False,,,False
cross_sentence,the <X> . the <X>,validation,abstracts,cohere-chat,1.6455,27,0.3,True,,,False
cross_sentence,the <X> . the <X>,validation,books,gpt4,1.9605,39,0.4143,True,,,False
cross_sentence,the <X> . the <X>,validation,books,llama-chat,0.6741,14,0.1857,False,,,False
cross_sentence,the <X> . the <X>,validation,books,cohere-chat,0.8782,17,0.2143,False,,,False
cross_sentence,the <X> . the <X>,validation,news,gpt4,1.7045,39,0.3857,True,,,False
cross_sentence,the <X> . the <X>,validation,news,llama-chat,2.4382,42,0.4429,True,,,False
cross_sentence,the <X> . the <X>,validation,news,cohere-chat,1.4343,14,0.1571,False,,,False
cross_sentence,the <X> . the <X>,validation,recipes,gpt4,2.2019,5,0.0714,False,,,False
cross_sentence,the <X> . the <X>,validation,recipes,llama-chat,0.5235,1,0.0143,False,,,False
cross_sentence,the <X> . the <X>,validation,recipes,cohere-chat,0.2243,0,0.0,False,,,False
cross_sentence,the <X> . the <X>,validation,wiki,gpt4,1.0372,18,0.1857,False,,,False
cross_sentence,the <X> . the <X>,validation,wiki,llama-chat,2.0405,29,0.2714,True,,,False
cross_sentence,the <X> . the <X>,validation,wiki,cohere-chat,1.3573,16,0.1714,False,,,False
ngram,such as,discovery,abstracts,chatgpt,2.9928,14,0.1857,True,,,False
